num = 1091,  ebn0s = 1.8 , errorblock = 10totalerror1 = 2307 totalerror2 = 0 
num = 1092,  ebn0s = 1.8 , errorblock = 10totalerror1 = 2307 totalerror2 = 0 
num = 1093,  ebn0s = 1.8 , errorblock = 10totalerror1 = 2307 totalerror2 = 0 
num = 1094,  ebn0s = 1.8 , errorblock = 10totalerror1 = 2307 totalerror2 = 0 
num = 1095,  ebn0s = 1.8 , errorblock = 10totalerror1 = 2307 totalerror2 = 0 
num = 1096,  ebn0s = 1.8 , errorblock = 10totalerror1 = 2307 totalerror2 = 0 
num = 1097,  ebn0s = 1.8 , errorblock = 10totalerror1 = 2307 totalerror2 = 0 
num = 1098,  ebn0s = 1.8 , errorblock = 10totalerror1 = 2307 totalerror2 = 0 
num = 1099,  ebn0s = 1.8 , errorblock = 10totalerror1 = 2307 totalerror2 = 0 
num = 1100,  ebn0s = 1.8 , errorblock = 10totalerror1 = 2307 totalerror2 = 0 
num = 1101,  ebn0s = 1.8 , errorblock = 10totalerror1 = 2307 totalerror2 = 0 
num = 1102,  ebn0s = 1.8 , errorblock = 10totalerror1 = 2307 totalerror2 = 0 
num = 1103,  ebn0s = 1.8 , errorblock = 10totalerror1 = 2307 totalerror2 = 0 
num = 1104,  ebn0s = 1.8 , errorblock = 10totalerror1 = 2307 totalerror2 = 0 
num = 1105,  ebn0s = 1.8 , errorblock = 10totalerror1 = 2307 totalerror2 = 0 
num = 1106,  ebn0s = 1.8 , errorblock = 10totalerror1 = 2307 totalerror2 = 0 
num = 1107,  ebn0s = 1.8 , errorblock = 10totalerror1 = 2307 totalerror2 = 0 
num = 1906,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1907,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1908,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1909,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1910,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1911,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1912,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1913,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1914,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1915,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1916,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1917,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1918,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1919,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1920,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1921,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1922,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1923,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1924,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1925,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1926,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1927,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1928,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1929,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1930,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1931,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1932,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1933,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1934,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1935,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1936,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1937,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1938,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1939,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
num = 1940,  ebn0s = 1.8 , errorblock = 20totalerror1 = 5197 totalerror2 = 0 
